Bird.ID,Deploy.Date,Data.End.Date,Age,Sex,Wing,Mass,H.B,TAG.type,X.ray.result,Tag.code,Ringing.location,S.N,Tag.Extant,Redeployed,UHF.Code,Current.Winter.site,Accelerometer.,2012.Gos,2013.Gos,2014.Gos,2015.Gos,2016.Gos,2017.Gos,2018.Gos,2019.Gos,2020.Gos,Notes
XJ,20/11/2018,30/06/2019,A,F,436,2525,110,Ornitela GSM (x2 solar),NA,XJ,ISLA,17674,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,,"Bird extant and at Craigens, Islay Nov 2019. Only half downloaded breeding season butcurrently in signal balck hole"
XX,05/01/2019,11/10/2019,A,F,409,2375,107.5,Ornitela GSM (x2 solar),NA,XX,WEST,17706,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird died Iceland Autumn 2019
XT,05/01/2019,04/05/2020,A,F,415,2200,107.5,Ornitela GSM (x2 solar),NA,XT,WEST,17758,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,2,,NA
AU,29/02/2020,27/01/2022,A,F,442,2700,107.4,Ornitela GSM (x2 solar),0,AU,ISLA,17759,Y,N,NA,Gruinart,Y,Na,Na,Na,Na,Na,Na,Na,0,2,NA
AZ,06/02/2020,27/01/2022,A,F,415,2400,109,Ornitela GSM (x2 solar),0,AZ,ISLA,17761,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,Na,2,4,NA
XP,05/01/2019,07/05/2019,A,F,404,2125,105.5,Ornitela GSM (x2 solar),NA,XP,WEST,17770,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Stopped transmitting during spring staging 2019
XV,13/12/2018,04/03/2020,A,F,381,2400,105.4,Ornitela GSM (x2 solar),NA,XV,LOKE,17776,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,1,,NA
XU,13/12/2018,27/01/2022,A,F,414,2700,107,Ornitela GSM (x2 solar),NA,XU,LOKE,17779,Y,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,0,3,,NA
A0,06/02/2020,06/05/2020,A,F,410,2300,106,Ornitela GSM (x2 solar),0,A0,ISLA,17800,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,3,,NA
XZ,27/02/2019,08/05/2020,A,F,421,2375,106.3,Ornitela GSM (x2 solar),0,XZ,ISLA,17782,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,1,,NA
XH,20/11/2018,27/01/2022,A,F,418,2475,109,Ornitela GSM (x2 solar),NA,XH,ISLA,17786,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,0,0,1,NA
XN,20/11/2018,27/01/2022,A,F,424,2600,106.5,Ornitela GSM (x2 solar),NA,XN,ISLA,17790,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
XS,05/01/2019,27/01/2022,A,F,412,2375,109,Ornitela GSM (x2 solar),NA,XS,WEST,17791,Y,N,NA,West Freugh,Y,Na,Na,Na,Na,Na,Na,0,0,,NA
A8,26/02/2020,04/05/2020,A,F,403,2150,102.1,Ornitela GSM (x2 solar),0,A8,ISLA,17792,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,1,,NA
XL,20/11/2018,23/10/2019,A,F,421,2425,107.2,Ornitela GSM (x2 solar),NA,XL,ISLA,17796,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird Shot Iceland Autumn staging 2019
AT,27/02/2020,27/01/2022,A,F,406,2300,101.1,Ornitela GSM (x2 solar),0,AT,ISLA,17801,Y,N,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
X1,20/11/2018,22/10/2019,A,F,419,2375,106,Ornitela GSM (x2 solar),NA,X1,ISLA,17806,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird Shot Iceland Autumn staging 2019
XY,27/02/2019,27/01/2022,A,F,392,2300,106,Ornitela GSM (x2 solar),0,XY,ISLA,17807,Y,N,NA,Ronnachmore,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
X4,28/02/2019,12/08/2019,A,F,416,2375,106.5,Ornitela GSM (x2 solar),0,X4,ISLA,17810,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,0,Bird extant and at Conrabus Islay as of Nov 2019. Large data backload that may back fill when tag gets sun and signal
X6,28/02/2019,07/04/2019,A,F,395,2050,104.1,Ornitela GSM (x2 solar),0,X6,ISLA,17822,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,0,Stopped transmitting spring migration 2019.           Resighted in November 2019 on Islay
X8,28/02/2019,27/01/2022,A,F,420,2200,107.2,Ornitela GSM (x2 solar),0,X8,ISLA,17824,Y,N,NA,Cornabus,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
XA,20/11/2018,03/05/2019,A,F,420,2475,108.8,Ornitela GSM (x2 solar),NA,XA,ISLA,171211,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,2,Na,Na,Stopped transmitting during spring staging 2019
X9,27/02/2020,27/01/2022,A,F,407,2425,108.9,Ornitela GSM (x2 solar),0,X9,ISLA,190291,Y,N,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
X0,27/02/2020,27/01/2022,A,F,399,2075,100,Ornitela GSM (x2 solar),0,X0,ISLA,190292,Y,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
YH,07/12/2019,30/04/2020,A,F,395,2225,104.5,Ornitela GSM (x2 solar),0,YH,WEST,190293,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,4,,NA
YJ,29/02/2020,02/05/2021,A,F,406,2000,104.5,Ornitela GSM (x2 solar),0,YJ,ISLA,190294,Y,N,NA,Outer Hebs,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
7,27/02/2019,10/04/2019,A,F,428,2175,108.5,Ornitela GSM (x2 solar),0,7,ISLA,190295.1,N,Y,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
YA,27/02/2020,27/01/2022,A,F,411,2225,101.2,Ornitela GSM (x2 solar),0,YA,ISLA,190295.2,Y,Y,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
YL,26/02/2020,08/05/2020,A,F,421,2000,104.5,Ornitela GSM (x2 solar),0,YL,ISLA,193086,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
YN,26/02/2020,03/05/2020,A,F,410,2475,103.3,Ornitela GSM (x2 solar),0,YN,ISLA,193087,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
YP,27/02/2020,06/05/2020,A,F,432,2375,109.7,Ornitela GSM (x2 solar),0,YP,ISLA,193088,N,N,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,1,0,NA
AN,27/02/2021,27/01/2022,A,F,432,2500,105.1,Ornitela GSM (x2 solar),NA,AN,LOKE,17809.2,,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,Na,,,
YS,27/02/2021,27/01/2022,A,F,413,2400,107.2,Ornitela GSM (x2 solar),NA,YS,LOKE,193089,,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,Na,,,
YT,27/02/2021,28/08/2021,A,F,410,2600,109,Ornitela GSM (x2 solar),NA,YT,LOKE,193090,,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,,,
BLO09,30/01/2015,18/03/2016,A,M,446,2450,114.4,Ecotone UHF,NA,9,ISLA,NA,N,N,NA,NA,N,Na,Na,0,0,Na,Na,Na,Na,Na,NA
BLO18,15/01/2014,08/04/2014,A,M,426,2550,111.8,Ecotone UHF,NA,18,ISLA,NA,N,N,NA,NA,N,Na,0,Na,Na,Na,Na,Na,Na,Na,Don’t think an extra couple of days will make much difference
BLO19,15/01/2014,31/10/2017,A,F,425,2550,106.8,Ecotone UHF,NA,19,ISLA,NA,N,N,NA,NA,N,Na,0,0,3,0,0,0,0,,Think this is as far as Ed downloaded on this tag
BLO20,15/01/2014,09/04/2014,A,M,454,2975,112.3,Ecotone UHF,NA,20,ISLA,NA,N,N,NA,NA,N,Na,0,Na,Na,Na,Na,Na,Na,Na,NA
BLO21,22/11/2013,22/03/2016,A,F,414,2400,106,Ecotone UHF,NA,21,ISLA,NA,N,N,NA,NA,N,Na,0,0,0,Na,Na,Na,Na,Na,NA
BLO22,22/11/2013,21/03/2016,A,M,441,2875,114.6,Ecotone UHF,NA,22,ISLA,NA,N,N,NA,NA,N,Na,0,0,0,Na,Na,Na,Na,Na,NA
BLO23,15/01/2014,08/04/2014,A,F,441,2925,117.1,Ecotone UHF,NA,23,ISLA,NA,N,N,NA,NA,N,Na,0,0,Na,Na,Na,Na,Na,Na,NA
BLO25,29/11/2013,07/12/2013,A,M,431,2625,107.7,Ecotone UHF,NA,25,ISLA,NA,N,N,NA,NA,N,Na,0,0,0,0,Na,Na,Na,Na,NA
BLO27,15/01/2014,03/04/2015,A,F,424,2500,106.1,Ecotone UHF,NA,27,ISLA,NA,N,N,NA,NA,N,Na,0,0,2,Na,Na,Na,Na,Na,NA
BLO28,20/11/2014,16/11/2015,A,F,416,2525,110.9,Ecotone UHF,NA,28,ISLA,NA,N,N,NA,NA,N,Na,Na,0,0,0,0,0,0,,NA
BLO29,16/12/2014,21/11/2017,A,F,419,2525,102.7,Ecotone UHF,NA,29,WEST,NA,N,N,NA,NA,N,Na,Na,Na,2,0,0,Na,Na,Na,More Data on Ed's version
CLEG04,25/02/2018,27/01/2022,Y,F,403,2100,108.3,Ecotone GSM,NA,4,ISLA,NA,Y,N,NA,Ballinaby,N,Na,Na,Na,Na,Na,B,0,0,0,1st year bird 2018 BS
CLEG05,28/02/2018,05/05/2019,Y,F,392,2050,108.6,Ecotone GSM,NA,5,ISLA,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,B,0,Na,Na,1st year bird 2018 BS
ETA12,08/03/2013,30/10/2017,A,F,430,2425,118,Ecotone UHF,NA,12,ISLA,NA,N,N,NA,NA,N,0,0,0,0,1,1,0,0,0,"This bird had two tags, don’t have data fro the 2015 breeding season, and only till 15/07/ in 2014"
FAB02,08/03/2013,11/04/2013,A,M,429,2475,111.5,Ecotone UHF,NA,2,ISLA,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
FAB03,03/03/2013,07/11/2013,A,F,413,2600,110.6,Ecotone UHF,NA,3,LOKE,NA,N,N,NA,NA,N,0,0,3,Na,Na,Na,Na,Na,Na,NA
FAB06,08/03/2013,30/12/2013,A,M,417,2500,112.7,Ecotone UHF,NA,6,ISLA,NA,N,N,NA,NA,N,0,0,0,0,0,0,Na,Na,Na,NA
FAB09,03/03/2013,07/04/2013,A,F,395,2500,105.5,Ecotone UHF (x3 solar),NA,9,LOKE,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
FAB11,08/03/2013,09/04/2013,A,F,421,2375,111,Ecotone UHF (x3 solar),NA,V4L,ISLA,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
FAB12,08/03/2013,11/04/2013,A,F,418,2425,106.5,Ecotone UHF (x3 solar),NA,V2L,ISLA,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
FAB13,08/03/2013,23/03/2013,A,F,429,2600,113.6,Ecotone UHF (x3 solar),NA,V3L,ISLA,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
FAB22,03/03/2013,10/08/2013,A,F,423,2530,106.3,Ecotone UHF,NA,NA,LOKE,NA,N,N,NA,NA,N,0,2,0,Na,Na,Na,Na,Na,Na,NA
HAR01.1,20/11/2014,30/11/2014,A,F,413,2150,105.9,Ecotone UHF,NA,1,ISLA,NA,N,Y,NA,NA,N,Na,Na,0,Na,Na,Na,Na,Na,Na,Longer coverage on Ed's version
HAR01.2,16/12/2014,30/12/2014,A,F,438,2675,110.8,Ecotone UHF,NA,1,WEST,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,Na,Na,Longer coverage on Ed's version
HAR02,17/11/2015,02/11/2017,A,F,422,2500,107.3,Ecotone UHF,NA,2,ISLA,NA,N,N,NA,NA,N,Na,Na,Na,0,0,0,0,0,0,"As far as the data goes on this one, no more in any of the files"
HAR03,29/01/2015,14/12/2015,A,F,436,2650,107,Ecotone UHF,NA,3,ISLA,NA,N,N,NA,NA,N,Na,Na,6,Na,Na,Na,Na,Na,Na,NA
HAR03.2,09/02/2018,10/02/2018,A,F,434,2750,107.9,Ecotone UHF,NA,3,ISLA,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,0,Na,Na,Na,NA
HAR04,29/01/2015,04/11/2015,A,F,425,2625,106.2,Ecotone UHF,NA,4,ISLA,NA,N,N,NA,NA,N,Na,Na,0,0,4,Na,Na,Na,Na,NA
HAR05,30/01/2015,23/03/2015,A,F,431,2225,108,Ecotone UHF,NA,5,ISLA,NA,N,N,NA,NA,N,Na,Na,0,Na,Na,Na,Na,Na,Na,NA
HAR07,30/01/2015,23/03/2015,A,M,460,2650,115.7,Ecotone UHF,NA,7,ISLA,NA,N,N,NA,NA,N,Na,Na,1,Na,Na,Na,Na,Na,Na,NA
HAR08,20/11/2014,03/04/2015,A,F,448,2850,115.7,Ecotone UHF,NA,8,ISLA,NA,N,N,NA,NA,N,Na,Na,4,Na,Na,Na,Na,Na,Na,NA
HAR25,22/11/2016,30/12/2017,A,F,430,2500,106.2,Ecotone UHF,1,V5T,LOKE,NA,N,N,NA,NA,N,B,0,3,0,1,0,Na,Na,Na,NA
HAR26,22/11/2016,31/12/2017,A,F,429,2375,104.2,Ecotone UHF,0,V7T,LOKE,NA,N,N,NA,NA,N,0,0,0,0,3,0,Na,Na,Na,NA
HAR27,11/11/2014,25/11/2017,Y,F,422,2450,113,Ecotone UHF,NA,27,ISLA,NA,N,N,NA,NA,N,Na,Na,Na,0,0,0,Na,Na,Na,1st year bird 2015 BS
LAR15,15/01/2014,07/04/2014,A,F,419,2500,108.9,Ecotone UHF,NA,V5L,ISLA,NA,N,N,NA,NA,N,Na,0,0,0,2,0,Na,Na,Na,NA
LAR17,15/01/2014,05/06/2016,A,M,446,2850,114.6,Ecotone UHF,NA,V7L,ISLA,NA,N,N,NA,NA,N,Na,0,0,0,0,0,0,0,,Half breeding season 2016 to 5th June
LAR18,16/12/2014,17/12/2014,A,M,423,2600,108.3,Ecotone UHF,NA,V0L,WEST,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,Na,Na,NA
PIFO02,26/02/2020,27/01/2022,Y,F,394,2125,107,Ecotone GSM,0,2,ISLA,NA,N,N,MLR02,NA,Y,Na,Na,Na,Na,Na,Na,Na,Y,Na,NA
PIFO10,09/02/2018,14/05/2018,A,F,429,2250,104,Ecotone GSM,NA,10,ISLA,NA,N,N,MLR10,NA,Y,Na,Na,Na,Na,Na,4,0,0,,NA
PIFO16,27/02/2020,11/12/2020,Y,M,420,2550,113.1,Ecotone GSM,0,16,ISLA,NA,Y,N,MLR16,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,Y,0,NA
PIFO30.1,09/02/2018,09/03/2018,A,F,437,2675,108,Ecotone GSM,NA,30,ISLA,NA,N,Y,MLR30,NA,Y,Na,Na,Na,Na,Na,0,Na,Na,Na,NA
PIFO30.2,20/11/2018,06/05/2020,A,M,455,2750,110.7,Ecotone GSM,NA,30,ISLA,NA,N,N,MLR30,NA,Y,Na,Na,Na,Na,Na,Na,0,0,,NA
PIFO32,06/02/2020,17/09/2020,Y,F,385,2100,107.5,Ecotone GSM,0,32,ISLA,NA,N,N,KRX02,NA,Y,Na,Na,Na,Na,Na,Na,Na,Y,,NA
PIFO47,20/11/2018,28/09/2020,A,M,462,2850,116.5,Ecotone GSM,NA,47,ISLA,NA,Y,N,KRX17,Craigens,Y,Na,Na,Na,Na,Na,Na,0,0,0,FTP tag
PIFO50,07/12/2019,30/09/2020,Y,F,389,2250,105.6,Ecotone GSM,0,50,WEST,NA,Y,N,KRX20,NA,Y,Na,Na,Na,Na,Na,Na,Na,Y,,NA
PIFO53,07/12/2019,27/01/2022,Y,F,386,2220,106.4,Ecotone GSM,1,53,WEST,NA,Y,N,PFO03,West Freugh,Y,Na,Na,Na,Na,Na,Na,Na,Y,,Collared as Juv
PIFO60,06/02/2020,30/04/2021,A,M,437,2600,111,Ecotone GSM,2,60,ISLA,NA,Y,N,PFO10,Craigens,Y,Na,Na,Na,Na,Na,Na,Na,2,4,NA
UCOL01,12/12/2012,04/05/2013,A,M,435,2650,109.7,Ecotone GSM,NA,1,ISLA,NA,N,N,NA,NA,N,0,Na,Na,Na,Na,Na,Na,Na,Na,NA
