"Tag_year","attempt_start","attempt_end","length","Green_dep","UK_dep","Ice_arrive_spring","year","ID","Green_arrive","pre_breed_length","Ice_dep_spring","Acc","attempt","success23","success24","successall","ordinal","staging_length","Age","Mass","Sex","Ringing.location","prev_success","breeding_lat","breeding_long","mig_duration","total_ODBA","Green_centre","laying_centre","failure_centre"
"17801_2020","2020-05-30","2020-06-11",13,"2020-09-01","2020-04-04",2020-04-06,2020,"17801","2020-05-01",29,2020-04-29,"Y",1,0,0,0,"late.fail",23,"A","2300","F","ISLA",1,67.270897,-51.794582,29.21,1301.39337956258,-7,4,6
"17807_2020","2020-05-26","2020-05-31",6,"2020-08-31","2020-04-10",2020-04-21,2020,"17807","2020-05-07",19,2020-05-02,"Y",1,0,0,0,"early.fail",11,"A","2300","F","ISLA",1,66.594711,-50.190746,110.659166666667,3556.56089570173,-1,0,-5
"17813_2020","2020-05-28","2020-05-30",3,"2020-09-09","2020-03-25",2020-03-27,2020,"17813","2020-05-10",18,2020-05-07,"Y",1,0,0,0,"early.fail",41,"A","2350","F","WEXF",1,70.362762,-52.843857,30.0858333333333,1393.65791125105,2,2,-6
"17824_2020","2020-05-24","2020-06-19",27,"2020-09-06","2020-04-04",2020-04-06,2020,"17824","2020-05-08",16,2020-05-06,"Y",1,1,1,1,"success",30,"A","2200","F","ISLA",1,67.748741,-50.602409,37.6194444444444,1524.27332892871,0,-2,14
"190291_2020","2020-05-31","2020-06-02",3,"2020-09-01","2020-04-09",2020-04-11,2020,"190291","2020-05-06",25,2020-05-02,"Y",1,0,0,0,"early.fail",21,"A","2425","F","ISLA",1,67.023727,-52.013351,82.6061111111111,1996.86876581455,-2,5,-3
"190292_2020","2020-06-02","2020-06-28",27,"2020-09-01","2020-04-04",2020-04-06,2020,"190292","2020-05-01",32,2020-04-29,"Y",1,1,1,1,"success",23,"A","2075","F","ISLA",1,67.259727,-52.032429,28.9052777777778,1451.21989121654,-7,7,23
"190294_2020","2020-05-24","2020-05-25",2,"2020-09-08","2020-04-13",2020-04-14,2020,"190294","2020-05-10",14,2020-05-08,"Y",1,0,0,0,"early.fail",24,"A","2000","F","ISLA",1,67.601517,-50.800209,24.1794444444444,1041.27590274076,2,-2,-11
"190295.2_2020","2020-06-01","2020-06-22",22,"2020-09-01","2020-04-04",2020-04-06,2020,"190295.2","2020-05-06",26,2020-05-02,"Y",1,0,0,0,"late.fail",26,"A","2225","F","ISLA",1,67.230148,-51.930695,93.3566666666667,2872.25395912917,-2,6,17
"190842_2020","2020-05-25","2020-06-20",27,"2020-09-06","2020-03-29",2020-03-30,2020,"190842","2020-05-06",19,2020-05-02,"Y",1,1,1,1,"success",33,"A","2450","F","LOSW",1,67.587914,-51.83033,86.6661111111111,2445.33691126238,-2,-1,15
"17765_2020",NA,NA,0,"2020-08-31","2020-04-04",2020-04-06,2020,"17765","2020-05-06",NA,2020-05-02,"Y",0,NA,NA,0,"defer",26,"A","2250","F","SESK",1,NA,NA,73.4288888888889,2011.67212060247,-2,NA,NA
"17769_2020",NA,NA,0,"2020-09-09","2020-03-31",2020-04-03,2020,"17769","2020-05-10",NA,2020-05-07,"Y",0,NA,NA,0,"defer",34,"A","2400","F","WEXF",1,NA,NA,18.5013888888889,868.385858287685,2,NA,NA
"17783_2020",NA,NA,0,"2020-09-01","2020-04-07",2020-04-08,2020,"17783","2020-05-07",NA,2020-05-02,"Y",0,NA,NA,0,"defer",24,"A","2400","F","LOSW",1,NA,NA,69.5808333333333,2149.7263076268,-1,NA,NA
"190839_2020",NA,NA,0,"2020-08-30","2020-03-29",2020-04-11,2020,"190839","2020-05-10",NA,2020-05-08,"Y",0,NA,NA,0,"defer",27,"A","2550","F","LOSW",1,NA,NA,37.9019444444444,1029.00384757422,2,NA,NA
"190845_2020",NA,NA,0,"2020-09-07","2020-03-31",2020-04-03,2020,"190845","2020-05-10",NA,2020-05-07,"Y",0,NA,NA,0,"defer",34,"A","2525","F","WEXF",1,NA,NA,27.4877777777778,1085.34462381439,2,NA,NA
"190850_2020",NA,NA,0,"2020-09-07","2020-03-29",2020-04-11,2020,"190850","2020-05-09",NA,2020-05-06,"Y",0,NA,NA,0,"defer",25,"A","2550","F","LOSW",1,NA,NA,62.9169444444444,2345.4674118397,1,NA,NA
"17762_2018","2018-05-30","2018-06-03",5,"2018-09-25","2018-04-05",2018-04-06,2018,"17762","2018-05-09",21,2018-05-07,"Y",1,0,0,0,"early.fail",31,"A","2600","F","WEXF",1,71.513863,-54.111973,22.0008333333333,943.072523752239,-1,-10,-14
"17763_2018","2018-06-07","2018-06-29",23,"2018-09-20","2018-04-05",2018-04-08,2018,"17763","2018-05-09",29,2018-05-07,"Y",1,1,0,0,"success",29,"A","2050","F","WEXF",1,68.812309,-50.412754,116.753333333333,3967.38385376934,-1,-2,12
"17766_2018","2018-06-06","2018-06-17",12,"2018-09-16","2018-04-08",2018-04-09,2018,"17766","2018-05-11",26,2018-05-08,"Y",1,0,0,0,"late.fail",29,"A","2150","F","WEXF",1,70.078445,-53.569508,46.5941666666667,2327.69887737699,1,-3,0
"17768_2018","2018-06-11","2018-06-23",13,"2018-09-13","2018-04-08",2018-04-09,2018,"17768","2018-05-09",33,2018-05-07,"Y",1,0,0,0,"late.fail",28,"A","2550","F","WEXF",1,67.573021,-53.431461,42.835,1940.40251877785,-1,2,6
"17777_2018","2018-06-11","2018-07-03",23,"2018-09-16","2018-04-01",2018-04-03,2018,"17777","2018-05-11",31,2018-05-09,"Y",1,1,0,0,"success",36,"A","2250","F","WEXF",1,70.190079,-52.210148,31.8141666666667,1219.08743283207,1,2,16
"17778_2018","2018-06-15","2018-07-10",26,"2018-09-25","2018-04-05",2018-04-06,2018,"17778","2018-05-11",35,2018-05-08,"Y",1,1,1,1,"success",32,"A","2050","F","WEXF",1,70.183296,-51.29784,59.3255555555556,1809.88967386454,1,6,23
"17780_2018","2018-06-06","2018-07-01",26,"2018-09-12","2018-04-05",2018-04-08,2018,"17780","2018-05-09",28,2018-05-07,"Y",1,1,1,1,"success",29,"A","2200","F","WEXF",1,68.788055,-50.544445,116.501111111111,4463.07181848106,-1,-3,14
"17813_2018","2018-06-08","2018-06-16",9,"2018-09-11","2018-03-29",2018-03-30,2018,"17813","2018-05-11",28,2018-05-07,"Y",1,0,0,0,"early.fail",38,"A","2350","F","WEXF",1,70.3517,-52.805428,66.0013888888889,2058.61632023059,1,-1,-1
"17814_2018","2018-06-13","2018-06-17",5,"2018-09-11","2018-04-08",2018-04-09,2018,"17814","2018-05-12",32,2018-05-09,"Y",1,0,0,0,"early.fail",30,"A","2350","F","WEXF",1,71.757744,-54.063046,60.3241666666667,1623.84503148919,2,4,0
"WHIT03_2018","2018-06-09","2018-06-11",3,"2018-09-12","2018-04-10",2018-04-11,2018,"WHIT03","2018-05-05",35,2018-05-02,"Y",1,0,0,0,"early.fail",21,"A","2550","F","ISLA",1,66.926175,-50.20655,47.9833333333333,1743.15219791667,-5,0,-6
"WHIT17_2018","2018-06-06","2018-06-17",12,"2018-09-13","2018-04-15",2018-04-15,2018,"WHIT17","2018-05-11",26,2018-05-09,"Y",1,0,0,0,"late.fail",24,"A","2400","F","ISLA",1,68.14502,-50.61271,32.3333333333333,1071.24793880208,1,-3,0
"WHIT20_2018","2018-06-09","2018-06-30",22,"2018-09-14","2018-04-10",2018-04-10,2018,"WHIT20","2018-05-13",27,2018-05-09,"Y",1,0,0,0,"late.fail",29,"A","2100","F","ISLA",1,67.38378,-53.4563,79.8166666666667,2045.27132291667,3,0,13
"WHIT21_2018","2018-06-09","2018-07-04",26,"2018-09-18","2018-04-12",2018-04-13,2018,"WHIT21","2018-05-10",30,2018-05-07,"Y",1,1,1,1,"success",24,"A","2250","F","ISLA",1,67.70128,-53.37158,33.2,1518.14816796875,0,0,17
"UCOL31_2018",NA,NA,0,"2018-09-13","2018-04-11",2018-04-12,2018,"UCOL31","2018-05-05",NA,2018-05-02,"Y",0,NA,NA,0,"defer",20,"A","2350","F","ISLA",1,NA,NA,48,1949.5705546875,-5,NA,NA
"WHIT12_2018",NA,NA,0,"2018-09-10","2018-04-15",2018-04-15,2018,"WHIT12","2018-05-06",NA,2018-05-02,"Y",0,NA,NA,0,"defer",17,"A","2550","F","KINT",1,NA,NA,70.5,3184.85385026042,-4,NA,NA
"WHIT24_2018",NA,NA,0,"2018-09-17","2018-04-11",2018-04-13,2018,"WHIT24","2018-05-11",NA,2018-05-08,"Y",0,NA,NA,0,"defer",25,"A","2350","F","ISLA",1,NA,NA,66.0166666666667,2564.26289192708,1,NA,NA
"17769_2018",NA,NA,0,"2018-09-16","2018-04-01",2018-04-03,2018,"17769","2018-05-11",NA,2018-05-09,"Y",0,NA,NA,0,"defer",36,"A","2400","F","WEXF",1,NA,NA,39.2502777777778,1284.76143192975,1,NA,NA
"WHIT01_2018","2018-06-02","2018-06-08",7,"2018-09-09","2018-04-14",2018-04-15,2018,"WHIT01","2018-05-19",14,NA,"N",1,0,0,0,"early.fail",NA,"A","2550","F","DYFI",1,68.23125,-51.67182,NA,NA,9,-7,-9
"WHIT02_2018","2018-06-10","2018-06-14",5,"2018-09-19","2018-04-10",2018-04-10,2018,"WHIT02","2018-05-09",32,2018-05-07,"N",1,0,0,0,"early.fail",27,"A","2350","F","DYFI",1,67.76472,-52.05245,38.9947222222222,NA,-1,1,-3
"WHIT09_2018","2018-06-11","2018-06-16",6,"2018-09-14","2018-04-12",2018-04-13,2018,"WHIT09","2018-05-11",31,2018-05-09,"N",1,0,0,0,"early.fail",26,"A","2375","F","ISLA",1,68.4711,-52.222675,45.0113888888889,NA,1,2,-1
"WHIT10_2018","2018-06-11","2018-06-17",7,"2018-09-13","2018-03-29",2018-03-30,2018,"WHIT10","2018-05-09",33,2018-05-07,"N",1,0,0,0,"early.fail",38,"A","2575","F","ISLA",1,68.34667,-51.949,36.0102777777778,NA,-1,2,0
"WHIT16_2018","2018-06-04","2018-06-06",3,"2018-09-18","2018-04-13",2018-04-13,2018,"WHIT16","2018-05-10",25,2018-05-08,"N",1,0,0,0,"early.fail",25,"A","2125","F","ISLA",1,68.22221,-50.6807,26.95,NA,0,-5,-11
"WHIT18_2018","2018-06-09","2018-06-11",3,"2018-09-09","2018-04-15",2018-04-15,2018,"WHIT18","2018-05-10",30,2018-05-09,"N",1,0,0,0,"early.fail",24,"A","2350","F","ISLA",1,68.29817,-52.09835,42,NA,0,0,-6
"WHIT19_2018",NA,NA,0,"2018-09-14","2018-04-18",2018-04-19,2018,"WHIT19","2018-05-10",NA,2018-05-09,"N",0,NA,NA,0,"defer",20,"A","2375","F","ISLA",1,NA,NA,42.0166666666667,NA,0,NA,NA
"UCOL33_2017","2017-06-07","2017-06-25",19,"2017-08-23","2017-04-17",2017-04-18,2017,"UCOL33","2017-05-09",29,2017-05-06,"Y",1,0,0,0,"late.fail",18,"A","2500","F","ISLA",NA,67.21917,-51.77355,50,2509.34575,2,6,2
"WHIT12_2017","2017-05-26","2017-06-21",27,"2017-09-06","2017-04-02",2017-04-06,2017,"WHIT12","2017-05-09",17,2017-05-06,"Y",1,1,1,1,"success",30,"A","2550","F","KINT",NA,67.43175,-51.80575,113.966666666667,3942.68861197917,2,-6,-2
"WHIT15_2017","2017-05-26","2017-05-27",2,"2017-09-03","2017-04-09",2017-04-15,2017,"WHIT15","2017-05-07",19,2017-05-04,"Y",1,0,0,0,"early.fail",19,"A","2475","F","ISLA",NA,67.43592,-52.18373,66.9833333333333,2080.75727994792,0,-6,-27
"WHIT09_2017",NA,NA,0,"2017-09-11","2017-04-08",2017-04-16,2017,"WHIT09","2017-05-08",NA,2017-05-06,"Y",0,NA,NA,0,"defer",20,"A","2375","F","ISLA",NA,NA,NA,24,1599.92535546875,1,NA,NA
"HAR25_2017","2017-06-07","2017-06-30",24,"2017-09-21","2017-04-03",2017-04-07,2017,"HAR25","2017-05-07",31,2017-05-04,"N",1,1,1,1,"success",27,"A","2500","F","LOKE",NA,67.48113,-53.48425,67.0166666666667,NA,0,6,7
"WHIT03_2017","2017-05-27","2017-06-02",7,"2017-09-06","2017-04-03",2017-04-04,2017,"WHIT03","2017-05-05",22,2017-05-01,"N",1,0,0,0,"early.fail",27,"A","2550","F","ISLA",NA,66.91965,-50.22443,122.983333333333,NA,-2,-5,-21
"WHIT07_2017","2017-06-09","2017-07-02",24,"2017-09-13","2017-04-08",2017-04-11,2017,"WHIT07","2017-05-06",34,2017-05-03,"N",1,1,1,1,"success",22,"A","2225","F","ISLA",NA,68.04745,-50.68402,69.9833333333333,NA,-1,8,9
"HAR26_2017",NA,NA,0,"2017-09-05","2017-04-09",2017-04-09,2017,"HAR26","2017-05-10",NA,2017-05-06,"N",0,NA,NA,0,"defer",27,"A","2375","F","LOKE",NA,NA,NA,141.6,NA,3,NA,NA
"BLO19_2014","2014-06-04","2014-06-09",6,"2014-09-11","2014-04-14",2014-04-15,2014,"BLO19","2014-05-06",29,2014-05-05,"N",1,0,0,0,"early.fail",20,"A","2550","F","ISLA",NA,67.67858,-50.33132,46,NA,0,3,4
"BLO27_2014","2014-05-30","2014-06-02",4,"2014-09-08","2014-04-11",2014-04-12,2014,"BLO27","2014-05-05",25,2014-05-02,"N",1,0,0,0,"early.fail",20,"A","2500","F","ISLA",NA,67.41065,-52.68745,57.8166666666667,NA,-1,-2,-3
"BLO21_2014",NA,NA,0,"2014-09-11","2014-04-15",2014-04-16,2014,"BLO21","2014-05-07",NA,2014-05-05,"N",0,NA,NA,0,"defer",19,"A","2400","F","ISLA",NA,NA,NA,67.5166666666667,NA,1,NA,NA
"BLO19_2015","2015-06-11","2015-07-02",22,"2015-09-14","2015-04-08",2015-04-09,2015,"BLO19","2015-05-11",31,2015-05-10,"N",1,0,0,0,"late.fail",31,"A","2550","F","ISLA",NA,67.6929,-50.35,40.8666666666667,NA,0,1,14
"BLO28_2015","2015-06-12","2015-06-13",2,"2015-09-13","2015-04-10",2015-04-15,2015,"BLO28","2015-05-12",31,2015-05-09,"N",1,0,0,0,"early.fail",24,"A","2525","F","ISLA",NA,67.30575,-50.4361,72.0166666666667,NA,1,2,-5
"HAR03_2015","2015-06-09","2015-06-15",7,"2015-09-15","2015-04-16",2015-04-17,2015,"HAR03","2015-05-12",28,2015-05-10,"N",1,0,0,0,"early.fail",23,"A","2650","F","ISLA",NA,66.82892,-51.8132,41.0166666666667,NA,1,-1,-3
"HAR04_2015","2015-06-08","2015-06-22",15,"2015-09-20","2015-04-02",2015-04-02,2015,"HAR04","2015-05-08",31,2015-05-06,"N",1,0,0,0,"late.fail",34,"A","2625","F","ISLA",NA,67.92258,-51.35603,47.3833333333333,NA,-3,-2,4
"BLO21_2015",NA,NA,0,"2015-09-14","2015-04-17",2015-04-17,2015,"BLO21","2015-05-11",NA,2015-05-10,"N",0,NA,NA,0,"defer",23,"A","2400","F","ISLA",NA,NA,NA,63.3833333333333,NA,0,NA,NA
