Tag_year,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length,attempt,success24,staging_length,Age,Mass,Sex,Ringing.location,prev_success,breeding_lat,breeding_long,Green_centre,laying_centre,failure_centre
17700_2019,2019-04-06,2019,17700,2019-05-05,2019-05-06,2019-09-14,2019-06-02,2019-06-06,5,27,1,0,29,A,2350,F,WEXF,1,72.273819,-54.4183255,0,9,0
17706_2019,2019-04-09,2019,17706,2019-05-03,2019-05-07,2019-09-09,2019-05-29,2019-06-11,14,22,1,0,24,A,2375,F,WEST,1,67.163887,-52.025051,1,5,5
17739_2019,2019-04-06,2019,17739,2019-05-05,2019-05-06,2019-09-14,2019-05-25,2019-05-31,7,19,1,0,29,A,2500,F,WEXF,1,72.235229,-54.44556,0,1,-6
17739_2020,2020-04-02,2020,17739,2020-05-08,2020-05-10,2020-09-07,2020-06-01,2020-06-03,3,22,1,0,36,A,2500,F,WEXF,1,72.2490805,-54.298555,3,6.5,-8.5
17739_2021,2021-04-04,2021,17739,2021-05-05,2021-05-07,2021-09-09,2021-06-07,2021-06-16,10,31,1,0,31,A,2500,F,WEXF,0,72.247955,-54.371622,3.5,8,6
17758_2019,2019-04-01,2019,17758,2019-05-03,2019-05-05,2019-09-14,2019-06-05,2019-07-02,28,31,1,1,32,A,2200,F,WEST,1,69.413696,-50.530886,-1,12,26
17759_2020,2020-04-06,2020,17759,2020-05-07,2020-05-08,2020-09-02,2020-05-25,2020-06-19,26,17,1,1,31,A,2700,F,ISLA,1,67.255051,-50.079834,1,-0.5,7.5
17759_2021,2021-04-17,2021,17759,2021-05-05,2021-05-07,2021-08-29,2021-05-28,2021-06-01,5,21,1,0,18,A,2700,F,ISLA,0,67.255348,-50.077591,3.5,-2,-9
17760_2019,2019-04-01,2019,17760,2019-05-05,2019-05-06,2019-09-02,2019-05-24,2019-05-27,4,18,1,0,34,A,2350,F,LIRO,1,67.63472,-50.45068,0,0,-10
17760_2020,2020-04-06,2020,17760,2020-05-06,2020-05-09,2020-08-29,2020-05-26,2020-05-27,2,17,1,0,30,A,2350,F,LIRO,1,67.629089,-50.483755,2,0.5,-15.5
17760_2021,2021-04-11,2021,17760,2021-05-04,2021-05-06,2021-09-06,2021-05-31,2021-06-14,15,25,1,0,23,A,2350,F,LIRO,0,67.627792,-50.470203,2.5,1,4
17761_2021,2021-04-12,2021,17761,2021-05-01,2021-05-03,2021-09-06,NA,NA,0,NA,0,NA,19,A,2400,F,ISLA,0,NA,NA,-0.5,NA,NA
17762_2018,2018-04-06,2018,17762,2018-05-07,2018-05-08,2018-09-26,2018-05-30,2018-06-03,5,22,1,0,31,A,2600,F,WEXF,1,71.513863,-54.111973,-2,-10,-20
17762_2019,2019-03-29,2019,17762,2019-05-03,2019-05-04,2019-09-22,2019-05-17,2019-06-12,27,13,1,1,35,A,2600,F,WEXF,1,71.463821,-53.928429,-2,-7,6
17763_2018,2018-04-08,2018,17763,2018-05-07,2018-05-08,2018-09-21,2018-06-07,2018-07-01,25,30,1,1,29,A,2050,F,WEXF,1,68.812309,-50.412754,-2,-2,8
17764_2019,2019-03-24,2019,17764,2019-05-05,2019-05-06,2019-08-31,2019-05-24,2019-05-30,7,18,1,0,42,A,2250,F,LIRO,1,67.446716,-50.588791,0,0,-7
17764_2020,2020-03-27,2020,17764,2020-05-01,2020-05-03,2020-09-07,2020-05-25,2020-05-26,2,22,1,0,35,A,2250,F,LIRO,1,67.4375,-50.610647,-4,-0.5,-16.5
17765_2019,2019-04-01,2019,17765,2019-05-05,2019-05-06,2019-09-03,2019-05-25,2019-05-26,2,19,1,0,34,A,2250,F,SESK,1,66.619118,-50.7069055,0,1,-11
17765_2020,2020-04-06,2020,17765,2020-05-02,2020-05-05,2020-09-01,NA,NA,0,NA,0,NA,26,A,2250,F,SESK,1,NA,NA,-2,NA,NA
17765_2021,2021-04-11,2021,17765,2021-05-02,2021-05-04,2021-09-03,2021-05-26,2021-06-06,12,22,1,0,21,A,2250,F,SESK,0,66.601189,-50.672718,0.5,-4,-4
17766_2018,2018-04-09,2018,17766,2018-05-08,2018-05-10,2018-09-17,2018-06-06,2018-06-17,12,27,1,0,29,A,2150,F,WEXF,1,70.078445,-53.569508,0,-3,-6
17766_2019,2019-04-01,2019,17766,2019-05-05,2019-05-06,2019-09-10,2019-05-23,2019-05-26,4,17,1,0,34,A,2150,F,WEXF,1,70.087143,-53.587635,0,-1,-11
17766_2020,2020-04-05,2020,17766,2020-05-02,2020-05-07,2020-09-09,2020-05-30,2020-06-03,5,23,1,0,27,A,2150,F,WEXF,1,70.084106,-53.579948,0,4.5,-8.5
17768_2018,2018-04-09,2018,17768,2018-05-07,2018-05-08,2018-09-14,2018-06-10,2018-06-23,14,33,1,0,28,A,2550,F,WEXF,1,67.573029,-53.431465,-2,1,0
17769_2018,2018-04-03,2018,17769,2018-05-09,2018-05-10,2018-09-17,NA,NA,0,NA,0,NA,36,A,2400,F,WEXF,1,NA,NA,0,NA,NA
17769_2019,2019-03-30,2019,17769,2019-05-06,2019-05-07,2019-09-17,NA,NA,0,NA,0,NA,37,A,2400,F,WEXF,1,NA,NA,1,NA,NA
17769_2020,2020-04-03,2020,17769,2020-05-07,2020-05-09,2020-09-10,NA,NA,0,NA,0,NA,34,A,2400,F,WEXF,1,NA,NA,2,NA,NA
17769_2021,2021-04-04,2021,17769,2021-05-03,2021-05-05,2021-09-11,NA,NA,0,NA,0,NA,29,A,2400,F,WEXF,0,NA,NA,1.5,NA,NA
17771_2019,2019-04-01,2019,17771,2019-05-05,2019-05-08,2019-09-18,2019-05-27,2019-05-31,5,19,1,0,34,A,2550,F,WEXF,1,71.817017,-54.328999,2,3,-6
17776_2019,2019-04-09,2019,17776,2019-04-30,2019-05-02,2019-09-16,2019-06-04,2019-06-29,26,33,1,1,21,A,2400,F,LOKE,1,66.999153,-50.052155,-4,11,23
17777_2018,2018-04-03,2018,17777,2018-05-09,2018-05-10,2018-09-17,2018-06-11,2018-07-03,23,32,1,0,36,A,2250,F,WEXF,1,70.190079,-52.210148,0,2,10
17777_2019,2019-03-30,2019,17777,2019-05-06,2019-05-07,2019-09-07,2019-05-20,2019-05-23,4,13,1,0,37,A,2250,F,WEXF,1,70.222404,-52.169075,1,-4,-14
17777_2020,2020-04-03,2020,17777,2020-05-07,2020-05-11,2020-09-10,2020-05-29,2020-05-30,2,18,1,0,34,A,2250,F,WEXF,1,70.30751,-52.195213,4,3.5,-12.5
17777_2021,2021-04-04,2021,17777,2021-05-04,2021-05-06,2021-09-09,2021-06-01,2021-06-06,6,26,1,0,30,A,2250,F,WEXF,0,70.230682,-52.228313,2.5,2,-4
17778_2018,2018-04-06,2018,17778,2018-05-08,2018-05-10,2018-09-26,2018-06-16,2018-07-10,25,37,1,1,32,A,2050,F,WEXF,1,70.183296,-51.29784,0,7,17
17779_2019,2019-03-31,2019,17779,2019-05-03,2019-05-04,2019-09-10,2019-06-05,2019-07-01,27,32,1,1,33,A,2700,F,LOKE,1,66.568115,-51.514656,-2,12,25
17779_2020,2020-04-03,2020,17779,2020-04-29,2020-04-30,2020-09-07,2020-05-22,2020-06-17,27,22,1,1,26,A,2700,F,LOKE,1,66.571419,-51.533981,-7,-3.5,5.5
17779_2021,2021-04-02,2021,17779,2021-05-01,2021-05-02,2021-09-06,2021-05-20,2021-06-15,27,18,1,1,29,A,2700,F,LOKE,0,66.570442,-51.519363,-1.5,-10,5
17780_2018,2018-04-08,2018,17780,2018-05-07,2018-05-08,2018-09-13,2018-06-06,2018-07-01,26,29,1,1,29,A,2200,F,WEXF,1,68.788055,-50.544445,-2,-3,8
17782_2019,2019-04-08,2019,17782,2019-05-03,2019-05-04,2019-09-06,2019-05-21,2019-06-15,26,17,1,1,25,A,2375,F,ISLA,1,66.616745,-50.299957,-2,-3,9
17783_2020,2020-04-08,2020,17783,2020-05-02,2020-05-06,2020-09-02,NA,NA,0,NA,0,NA,24,A,2400,F,LOSW,1,NA,NA,-1,NA,NA
17786_2019,2019-04-09,2019,17786,2019-05-05,2019-05-06,2019-09-07,2019-05-22,2019-05-29,8,16,1,0,26,A,2475,F,ISLA,1,67.136108,-50.348766,0,-2,-8
17786_2020,2020-04-06,2020,17786,2020-05-02,2020-05-05,2020-09-03,2020-05-21,2020-06-17,28,16,1,1,26,A,2475,F,ISLA,1,67.111916,-50.386459,-2,-4.5,5.5
17786_2021,2021-04-12,2021,17786,2021-05-01,2021-05-02,2021-09-06,NA,NA,0,NA,0,NA,19,A,2475,F,ISLA,0,NA,NA,-1.5,NA,NA
17790_2019,2019-04-09,2019,17790,2019-05-05,2019-05-06,2019-09-07,2019-05-19,2019-05-24,6,13,1,0,26,A,2600,F,ISLA,1,67.143837,-50.512074,0,-5,-13
17790_2020,2020-04-05,2020,17790,2020-05-02,2020-05-05,2020-09-01,2020-05-22,2020-06-05,15,17,1,0,27,A,2600,F,ISLA,1,67.156654,-50.519455,-2,-3.5,-6.5
17790_2021,2021-04-04,2021,17790,2021-05-02,2021-05-03,2021-09-06,NA,NA,0,NA,0,NA,28,A,2600,F,ISLA,0,NA,NA,-0.5,NA,NA
17791_2019,2019-03-31,2019,17791,2019-05-03,2019-05-06,2019-09-03,2019-05-20,2019-05-29,10,14,1,0,33,A,2375,F,WEST,1,67.334129,-50.571949,0,-4,-8
17795_2019,2019-03-30,2019,17795,2019-05-03,2019-05-04,2019-09-08,NA,NA,0,NA,0,NA,34,A,2650,F,LIRO,1,NA,NA,-2,NA,NA
17795_2020,2020-04-09,2020,17795,2020-05-03,2020-05-05,2020-09-01,2020-05-25,2020-06-03,10,20,1,0,24,A,2650,F,LIRO,1,67.282852,-51.775749,-2,-0.5,-8.5
17795_2021,2021-04-12,2021,17795,2021-05-03,2021-05-05,2021-09-06,2021-05-22,2021-06-17,27,17,1,1,21,A,2650,F,LIRO,0,67.301262,-51.766357,1.5,-8,7
17796_2019,2019-04-09,2019,17796,2019-05-07,2019-05-10,2019-09-07,2019-05-22,2019-06-07,17,12,1,0,28,A,2425,F,ISLA,1,67.142845,-50.549164,4,-2,1
17799_2020,2020-04-28,2020,17799,2020-05-07,2020-05-09,2020-09-08,2020-06-07,2020-06-12,6,29,1,0,9,A,2700,F,WEXF,1,71.582512,-54.368252,2,12.5,0.5
17799_2021,2021-04-02,2021,17799,2021-05-06,2021-05-09,2021-09-13,2021-06-08,2021-06-09,2,30,1,0,34,A,2700,F,WEXF,0,71.578991,-54.362465,5.5,9,-1
17801_2020,2020-04-06,2020,17801,2020-04-29,2020-04-30,2020-09-02,2020-05-31,2020-06-11,12,31,1,0,23,A,2300,F,ISLA,1,67.270897,-51.794582,-7,5.5,-0.5
17801_2021,2021-04-11,2021,17801,2021-05-02,2021-05-03,2021-09-06,2021-05-24,2021-05-26,3,21,1,0,21,A,2300,F,ISLA,0,67.270859,-51.796234,-0.5,-6,-15
17804_2019,2019-04-01,2019,17804,2019-05-05,2019-05-09,2019-09-18,NA,NA,0,NA,0,NA,34,A,2800,F,WEXF,1,NA,NA,3,NA,NA
17805_2019,2019-04-01,2019,17805,2019-05-05,2019-05-06,2019-10-07,NA,NA,0,NA,0,NA,34,A,2250,F,SESK,1,NA,NA,0,NA,NA
17806_2019,2019-04-09,2019,17806,2019-05-05,2019-05-06,2019-09-07,2019-05-18,2019-06-12,26,12,1,1,26,A,2375,F,ISLA,1,67.143173,-50.558762,0,-6,6
17807_2021,2021-04-11,2021,17807,2021-04-30,2021-05-02,2021-09-06,NA,NA,0,NA,0,NA,19,A,2300,F,ISLA,0,NA,NA,-1.5,NA,NA
17809.1_2019,2019-04-01,2019,17809.1,2019-05-05,2019-05-06,2019-09-06,NA,NA,0,NA,0,NA,34,A,2550,F,LIRO,1,NA,NA,0,NA,NA
17809.1_2020,2020-03-21,2020,17809.1,2020-05-02,2020-05-05,2020-09-02,2020-05-26,2020-06-16,22,21,1,0,42,A,2550,F,LIRO,1,67.563454,-50.669117,-2,0.5,4.5
17809.2_2021,2021-04-02,2021,17809.2,2021-05-01,2021-05-02,2021-09-01,2021-06-10,2021-06-11,2,39,1,0,29,A,2500,F,LOKE,0,67.390015,-50.232861,-1.5,11,1
17813_2018,2018-03-30,2018,17813,2018-05-07,2018-05-10,2018-09-12,2018-06-07,2018-06-16,10,28,1,0,38,A,2350,F,WEXF,1,70.3517,-52.805424,0,-2,-7
17813_2019,2019-04-09,2019,17813,2019-05-05,2019-05-07,2019-09-09,NA,NA,0,NA,0,NA,26,A,2350,F,WEXF,1,NA,NA,1,NA,NA
17813_2020,2020-03-27,2020,17813,2020-05-07,2020-05-09,2020-09-10,NA,NA,0,NA,0,NA,41,A,2350,F,WEXF,1,NA,NA,2,NA,NA
17813_2021,2021-04-04,2021,17813,2021-05-05,2021-05-06,2021-09-09,2021-05-29,2021-06-10,13,23,1,0,31,A,2350,F,WEXF,0,70.320038,-52.927692,2.5,-1,0
17814_2018,2018-04-09,2018,17814,2018-05-09,2018-05-11,2018-09-12,2018-06-14,2018-06-18,5,34,1,0,30,A,2350,F,WEXF,1,71.757744,-54.063049,1,5,-5
17824_2019,2019-04-08,2019,17824,2019-05-05,2019-05-07,2019-09-12,2019-05-24,2019-06-18,26,17,1,1,27,A,2200,F,ISLA,1,67.748207,-50.604286,1,0,12
17824_2020,2020-04-06,2020,17824,2020-05-06,2020-05-07,2020-09-07,2020-05-24,2020-06-19,27,17,1,1,30,A,2200,F,ISLA,1,67.748741,-50.602409,0,-1.5,7.5
190291_2020,2020-04-11,2020,190291,2020-05-02,2020-05-05,2020-09-02,2020-05-31,2020-06-02,3,26,1,0,21,A,2425,F,ISLA,1,67.023727,-52.013351,-2,5.5,-9.5
190292_2020,2020-04-06,2020,190292,2020-04-29,2020-04-30,2020-09-02,2020-06-02,2020-06-28,27,33,1,1,23,A,2075,F,ISLA,1,67.259727,-52.032429,-7,7.5,16.5
190292_2021,2021-04-11,2021,190292,2021-04-30,2021-05-01,2021-09-06,NA,NA,0,NA,0,NA,19,A,2075,F,ISLA,0,NA,NA,-2.5,NA,NA
190294_2020,2020-04-14,2020,190294,2020-05-08,2020-05-09,2020-09-09,2020-05-24,2020-05-25,2,15,1,0,24,A,2000,F,ISLA,1,67.601517,-50.800209,2,-1.5,-17.5
190295.2_2020,2020-04-06,2020,190295.2,2020-05-02,2020-05-06,2020-09-02,2020-06-01,2020-06-23,23,26,1,0,26,A,2225,F,ISLA,1,67.230148,-51.930695,-1,6.5,11.5
190839_2020,2020-04-11,2020,190839,2020-05-08,2020-05-09,2020-08-31,NA,NA,0,NA,0,NA,27,A,2550,F,LOSW,1,NA,NA,2,NA,NA
190839_2021,2021-04-02,2021,190839,2021-05-05,2021-05-07,2021-09-06,2021-05-21,2021-06-04,15,14,1,0,33,A,2550,F,LOSW,0,67.512367,-51.925819,3.5,-9,-6
190842_2020,2020-03-30,2020,190842,2020-05-02,2020-05-05,2020-09-07,2020-05-25,2020-06-20,27,20,1,1,33,A,2450,F,LOSW,1,67.587914,-51.83033,-2,-0.5,8.5
190842_2021,2021-04-02,2021,190842,2021-04-30,2021-05-02,2021-09-03,2021-06-02,2021-06-10,9,31,1,0,28,A,2450,F,LOSW,0,67.588707,-51.832504,-1.5,3,0
190845_2021,2021-04-02,2021,190845,2021-05-04,2021-05-05,2021-09-02,2021-06-05,2021-07-01,27,31,1,1,32,A,2525,F,WEXF,0,72.457962,-54.508553,1.5,6,21
190850_2020,2020-04-11,2020,190850,2020-05-06,2020-05-08,2020-09-08,NA,NA,0,NA,0,NA,25,A,2550,F,LOSW,1,NA,NA,1,NA,NA
193089_2021,2021-04-02,2021,193089,2021-05-01,2021-05-03,2021-09-02,2021-05-24,2021-06-02,10,21,1,0,29,A,2400,F,LOKE,0,68.548668,-50.736195,-0.5,-6,-8
UCOL31_2018,2018-04-12,2018,UCOL31,2018-05-02,2018-05-04,2018-09-13,NA,NA,0,NA,0,NA,20,A,2350,F,ISLA,1,NA,NA,-6,NA,NA
UCOL31_2020,2020-04-06,2020,UCOL31,2020-05-03,2020-05-07,2020-09-13,2020-06-01,2020-06-17,17,25,1,0,27,A,2350,F,ISLA,1,67.402917,-53.2672,0,6.5,5.5
WHIT09_2017,2017-04-16,2017,WHIT09,2017-05-06,2017-05-07,2017-09-11,NA,NA,0,NA,0,NA,20,A,2375,F,ISLA,1,NA,NA,0.5,NA,NA
WHIT12_2018,2018-04-15,2018,WHIT12,2018-05-02,2018-05-05,2018-09-11,NA,NA,0,NA,0,NA,17,A,2550,F,KINT,1,NA,NA,-5,NA,NA
WHIT12_2019,2019-04-08,2019,WHIT12,2019-05-03,2019-05-04,2019-09-05,2019-05-20,2019-06-01,13,16,1,0,25,A,2550,F,KINT,1,67.44185,-51.801683,-2,-4,-5
WHIT15_2017,2017-04-15,2017,WHIT15,2017-05-04,2017-05-06,2017-09-03,2017-05-25,2017-05-28,4,19,1,0,19,A,2475,F,ISLA,1,67.435917,-52.18375,-0.5,0,0
WHIT16_2019,2019-04-02,2019,WHIT16,2019-05-03,2019-05-04,2019-09-06,2019-05-18,2019-05-31,14,14,1,0,31,A,2125,F,ISLA,1,68.217983,-50.687917,-2,-6,-6
WHIT16_2020,2020-04-14,2020,WHIT16,2020-05-07,2020-05-08,2020-09-07,2020-05-22,2020-06-16,26,14,1,1,23,A,2125,F,ISLA,1,68.214283,-50.69235,1,-3.5,4.5
WHIT17_2018,2018-04-15,2018,WHIT17,2018-05-09,2018-05-10,2018-09-14,2018-06-07,2018-06-17,11,28,1,0,24,A,2400,F,ISLA,1,68.145017,-50.612717,0,-2,-6
WHIT17_2020,2020-04-12,2020,WHIT17,2020-05-06,2020-05-08,2020-09-07,2020-05-25,2020-06-04,11,17,1,0,24,A,2400,F,ISLA,1,68.140567,-50.613867,1,-0.5,-7.5
WHIT19_2019,2019-04-09,2019,WHIT19,2019-05-05,2019-05-07,2019-09-06,2019-05-28,2019-06-07,11,21,1,0,26,A,2375,F,ISLA,1,67.629217,-50.951367,1,4,1
WHIT21_2018,2018-04-13,2018,WHIT21,2018-05-07,2018-05-09,2018-09-19,2018-06-10,2018-06-30,21,32,1,0,24,A,2250,F,ISLA,1,67.701283,-53.371583,-1,1,7
WHIT21_2019,2019-04-02,2019,WHIT21,2019-05-03,2019-05-04,2019-09-13,2019-05-26,2019-06-10,16,22,1,0,31,A,2250,F,ISLA,1,67.7012,-53.3677415,-2,2,4
WHIT21_2020,2020-04-16,2020,WHIT21,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA,0,NA,22,A,2250,F,ISLA,1,NA,NA,2,NA,NA
17807_2020,2020-04-21,2020,17807,2020-05-02,2020-05-06,2020-09-01,2020-05-25,2020-05-31,7,19,1,0,11,A,2300,F,ISLA,1,66.594711,-50.190742,-1,-0.5,-11.5
17761_2020,NA,2020,17761,2020-05-06,2020-05-08,2020-09-09,2020-05-26,2020-06-22,28,18,1,1,NA,A,2400,F,ISLA,1,67.085396,-52.529934,1,0.5,10.5
190291_2021,NA,2021,190291,2021-05-01,2021-05-02,2021-09-11,2021-06-03,2021-06-30,28,32,1,1,NA,A,2425,F,ISLA,0,67.026146,-51.982727,-1.5,4,20
WHIT03_2018,NA,2018,WHIT03,2018-05-02,2018-05-04,2018-09-13,2018-06-09,2018-06-09,1,36,1,0,NA,A,2550,F,ISLA,1,NA,NA,-6,0,-14
WHIT20_2018,NA,2018,WHIT20,2018-05-09,2018-05-14,2018-09-15,2018-06-09,2018-06-30,22,26,1,0,NA,A,2100,F,ISLA,1,67.383783,-53.4563,4,0,7
WHIT22_2020,NA,2020,WHIT22,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA,0,NA,NA,A,2425,F,ISLA,1,NA,NA,2,NA,NA
WHIT24_2018,NA,2018,WHIT24,2018-05-08,2018-05-10,2018-09-18,NA,NA,0,NA,0,NA,NA,A,2350,F,ISLA,1,NA,NA,0,NA,NA
WHIT25_2019,NA,2019,WHIT25,2019-05-05,2019-05-06,2019-09-06,2019-06-05,2019-06-09,5,30,1,0,NA,A,2350,F,WEST,1,68.601383,-50.561217,0,12,3
UCOL31_2019,NA,2019,UCOL31,2019-05-03,2019-05-05,2019-09-10,NA,NA,0,NA,0,NA,NA,A,2350,F,ISLA,1,NA,NA,-1,NA,NA
